month;sales
04/01/2021 02:00;26,7
04/01/2021 02:05;26,7
04/01/2021 02:10;26,7
04/01/2021 02:15;26,7
04/01/2021 02:20;26,7
04/01/2021 02:25;26,7
04/01/2021 02:30;26,7
04/01/2021 02:35;26,7
04/01/2021 02:40;26,7
04/01/2021 02:45;26,7
04/01/2021 02:50;26,7
04/01/2021 02:55;26,7
04/01/2021 03:00;26,7
04/01/2021 03:05;26,7
04/01/2021 03:10;26,7
04/01/2021 03:15;26,7
04/01/2021 03:20;26,7
04/01/2021 03:25;26,7
04/01/2021 03:30;26,7
04/01/2021 03:35;26,7
04/01/2021 03:40;26,7
04/01/2021 03:45;26,7
04/01/2021 03:50;26,7
04/01/2021 03:55;26,7
04/01/2021 04:00;26,7
04/01/2021 04:05;26,7
04/01/2021 04:10;26,7
04/01/2021 04:15;26,7
04/01/2021 04:20;26,7
04/01/2021 04:25;26,7
04/01/2021 04:30;26,7
04/01/2021 04:35;26,7
04/01/2021 04:40;26,7
04/01/2021 04:45;26,7
04/01/2021 04:50;26,7
04/01/2021 04:55;26,7
04/01/2021 05:00;26,7
04/01/2021 05:05;22,7
04/01/2021 05:10;22,7
04/01/2021 05:15;22,5
04/01/2021 05:20;22,5
04/01/2021 05:25;22,5
04/01/2021 05:30;22,7
04/01/2021 05:35;22,8
04/01/2021 05:40;22,8
04/01/2021 05:45;23,1
04/01/2021 05:50;23,1
04/01/2021 05:55;23,4
04/01/2021 06:00;23,4
04/01/2021 06:05;23,5
